,trade_date,symbol,prev_day_close,next_day_close,pct_over_prev_close,day_pct_chg
2213,20250106,NSE:REDINGTON-EQ,201.0,195.98,1.39,-2.5
2214,20250107,NSE:REDINGTON-EQ,195.98,205.72,1.93,-4.97
2215,20250108,NSE:REDINGTON-EQ,205.72,202.17,1.96,-1.73
2216,20250109,NSE:REDINGTON-EQ,202.17,202.0,1.01,-0.08
2217,20250110,NSE:REDINGTON-EQ,202.0,204.3,1.45,-1.14
2218,20250113,NSE:REDINGTON-EQ,204.3,205.8,2.78,-0.73
2219,20250114,NSE:REDINGTON-EQ,205.8,201.7,1.83,-1.99
2220,20250115,NSE:REDINGTON-EQ,201.7,206.5,1.18,-2.38
2221,20250116,NSE:REDINGTON-EQ,206.5,216.73,1.51,-4.95
2222,20250117,NSE:REDINGTON-EQ,216.73,209.6,3.05,-3.29
2223,20250120,NSE:REDINGTON-EQ,209.6,223.0,5.42,-6.39
2224,20250121,NSE:REDINGTON-EQ,223.0,219.8,3.6,-1.43
2225,20241217,NSE:GODFRYPHLP-EQ,6008.0,5881.0,0.98,-2.11
2226,20241218,NSE:GODFRYPHLP-EQ,5881.0,5665.0,1.78,-3.67
2227,20241219,NSE:GODFRYPHLP-EQ,5665.0,5606.0,0.79,-1.04
2228,20241220,NSE:GODFRYPHLP-EQ,5606.0,5286.4,2.76,-5.7
2229,20241223,NSE:GODFRYPHLP-EQ,5286.4,5137.4,4.02,-2.82
2230,20241224,NSE:GODFRYPHLP-EQ,5137.4,5066.0,2.42,-1.39
2231,20241226,NSE:GODFRYPHLP-EQ,5066.0,5489.9,0.67,-8.37
2232,20241227,NSE:GODFRYPHLP-EQ,5489.9,5249.75,1.76,-4.37
2233,20241230,NSE:GODFRYPHLP-EQ,5249.75,4890.0,1.5,-6.85
2234,20241231,NSE:GODFRYPHLP-EQ,4890.0,5215.0,4.27,-6.65
2235,20250101,NSE:GODFRYPHLP-EQ,5215.0,5084.0,3.23,-2.51
2236,20250102,NSE:GODFRYPHLP-EQ,5084.0,5151.1,4.1,-1.32
2237,20250103,NSE:GODFRYPHLP-EQ,5151.1,5114.95,1.73,-0.7
2238,20250106,NSE:GODFRYPHLP-EQ,5114.95,4920.0,1.98,-3.81
2239,20250107,NSE:GODFRYPHLP-EQ,4920.0,4975.0,2.64,-1.12
2240,20250108,NSE:GODFRYPHLP-EQ,4975.0,4856.65,1.81,-2.38
2241,20250109,NSE:GODFRYPHLP-EQ,4856.65,4720.0,1.2,-2.81
2242,20250110,NSE:GODFRYPHLP-EQ,4720.0,4749.95,1.2,-0.63
2243,20250113,NSE:GODFRYPHLP-EQ,4749.95,4422.0,3.4,-6.9
2244,20250114,NSE:GODFRYPHLP-EQ,4422.0,4519.2,1.64,-2.2
2245,20250115,NSE:GODFRYPHLP-EQ,4519.2,4490.0,1.49,-0.65
2246,20250116,NSE:GODFRYPHLP-EQ,4490.0,4389.0,1.13,-2.25
2247,20250117,NSE:GODFRYPHLP-EQ,4389.0,4377.0,0.96,-0.27
2248,20250120,NSE:GODFRYPHLP-EQ,4377.0,4442.0,2.76,-1.49
2249,20250121,NSE:GODFRYPHLP-EQ,4442.0,4238.2,2.01,-4.59
2250,20241217,NSE:BAJFINANCE-EQ,7200.0,7145.0,0.55,-0.76
2251,20241218,NSE:BAJFINANCE-EQ,7145.0,7071.15,0.45,-1.03
2252,20241219,NSE:BAJFINANCE-EQ,7071.15,6915.0,1.05,-2.21
2253,20241220,NSE:BAJFINANCE-EQ,6915.0,6829.95,0.64,-1.23
2254,20241223,NSE:BAJFINANCE-EQ,6829.95,6868.0,0.66,-0.56
2255,20241224,NSE:BAJFINANCE-EQ,6868.0,6810.0,0.67,-0.84
2256,20241226,NSE:BAJFINANCE-EQ,6810.0,6810.0,0.56,-0.0
2257,20241227,NSE:BAJFINANCE-EQ,6810.0,6901.0,0.4,-1.34
2258,20241230,NSE:BAJFINANCE-EQ,6901.0,6889.15,0.61,-0.17
2259,20241231,NSE:BAJFINANCE-EQ,6889.15,6835.0,0.43,-0.79
2260,20250101,NSE:BAJFINANCE-EQ,6835.0,6940.0,0.41,-1.54
2261,20250102,NSE:BAJFINANCE-EQ,6940.0,7373.6,1.98,-6.25
2262,20250103,NSE:BAJFINANCE-EQ,7373.6,7367.75,0.7,-0.08
2263,20250106,NSE:BAJFINANCE-EQ,7367.75,7369.9,2.42,-0.03
2264,20250107,NSE:BAJFINANCE-EQ,7369.9,7340.0,1.02,-0.41
2265,20250108,NSE:BAJFINANCE-EQ,7340.0,7338.65,0.68,-0.02
2266,20250109,NSE:BAJFINANCE-EQ,7338.65,7291.7,0.66,-0.64
